Location	Name	ID	Count	Slots
Charm	Brilliant Charm of Eternal Reverie	171939	1	6
Charm-Slot1	Salus Faycite Shard: Word of Greater Vivification	159513	1	6
Charm-Slot2	Lazam's Tune	171176	1	6
Charm-Slot3	Unparalleled Sagacious Gem of Distant Echoes	166661	1	6
Charm-Slot4	Coalesced Fortune	165984	1	6
Ear	Spectral Luclinite Earring of Brilliance	169915	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Lazam's Tune	171176	1	6
Ear-Slot3	Gleaming Emblem of the Overseer	173369	1	6
Head	Illuminator Helm of Heroic Reflections	171611	1	6
Head-Slot1	Perfectly Balanced Pocketknife	169374	1	6
Head-Slot2	Unparalleled Nimble Gem of Distant Echoes	166685	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Brilliant Mask of Eternal Reverie	171918	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Twin Effigies of Knowledge and Experience	169380	1	6
Face-Slot3	Quiet Perception	175370	1	6
Ear	Brilliant Earring of Eternal Reverie	171915	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Lazam's Tune	171176	1	6
Ear-Slot3	Gnoll Skull Fragment	175167	1	6
Neck	Fine Lustrous Mendicant's Collar of Legacies Lost	151478	1	6
Neck-Slot1	Peridot of Divination	111799	1	6
Neck-Slot2	Mythic Charm	151234	1	6
Neck-Slot3	Performer's Lucky Charm	169371	1	6
Neck-Slot4	Acolyte's Enhancement of Legacies Lost	153891	1	6
Neck-Slot5	Acolyte's Strategy of Legacies Lost	151489	1	6
Neck-Slot6	Devotee's Enhancement of Enduring Harmony	138895	1	6
Shoulders	Spaulders of the Hand	171723	1	6
Shoulders-Slot1	Citrine of Conjuration	111798	1	6
Shoulders-Slot2	Lazam's Tune	171176	1	6
Shoulders-Slot3	Ungerminated Spore	173167	1	6
Arms	Illuminator Vambraces of Heroic Reflections	171612	1	6
Arms-Slot1	Stone of Unified Spirits	169376	1	6
Arms-Slot2	Bioluminescent Cave Stone	173371	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Ash Infused Cloak	175728	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Rift-Touched Cereous Bar	175172	1	6
Back-Slot3	Tiny Tessellated Ootheca	171168	1	6
Wrist	Illuminator Bracer of Eternal Reverie	171808	1	6
Wrist-Slot1	Doodad of Aurora's Luminosity	169379	1	6
Wrist-Slot2	Violet Edged Rose	171369	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Wrist	Illuminator Bracer of the Bound	173608	1	6
Wrist-Slot1	Phantasmal Luclinite Stone of Savviness	169582	1	6
Wrist-Slot2	Phantasmal Luclinite Gem of Brilliance	169572	1	6
Wrist-Slot3	Empty	0	0	0
Wrist-Slot4	Empty	0	0	0
Range	Sigil of Rebellion	173929	1	6
Range-Slot1	Sapphire of Defense	111802	1	6
Range-Slot2	Stone of Shame	175379	1	6
Range-Slot3	Protective Beak Bauble	171169	1	6
Hands	Illuminator Gauntlets of Eternal Reverie	171809	1	6
Hands-Slot1	Maia's Gem of Heliacal Rising	169178	1	6
Hands-Slot2	Unparalleled Intellect Gem of Distant Echoes	111863	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Spiteful Succulent	175755	1	6
Primary-Slot1	Harmonious Honed Gem of the Shackled	151786	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Buckler of Eternal Reverie	171943	1	6
Secondary-Slot1	Luminous Restless Ice	164604	1	6
Secondary-Slot2	Lazam's Tune	171176	1	6
Secondary-Slot3	Votive of The Great Shell	175179	1	6
Secondary-Slot4	Empty	0	0	0
Fingers	Brilliant Ring of Perpetual Reverie	171533	1	6
Fingers-Slot1	Emerald of Abjuration	111796	1	6
Fingers-Slot2	Resilient Stone of Perpetual Reverie	171580	1	6
Fingers-Slot3	Concentrated Goblin Smarts	171370	1	6
Fingers	Harbinger's Fine Mendicant Ring of Vengeance	168078	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Brilliant Gem of Unraveling Order	175582	1	6
Fingers-Slot3	Mystic's Gem of Unraveling Order	175573	1	6
Fingers-Slot4	Acolyte's Fortification of Legacies Lost	151490	1	6
Fingers-Slot5	Devotee's Enhancement of Legacies Lost	153902	1	6
Fingers-Slot6	Devotee's Stealth of Legacies Lost	151492	1	6
Chest	Illuminator Breastplate of Heroic Reflections	171614	1	6
Chest-Slot1	Maia's Gem of Heliacal Rising	169178	1	6
Chest-Slot2	Spittle Pocked Yttrium Coin	169370	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Illuminator Greaves of Rebellion	173813	1	6
Legs-Slot1	Lazam's Tune	171176	1	6
Legs-Slot2	White Gilded Lodestone	173370	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Illuminator Boots of Eternal Reverie	171810	1	6
Feet-Slot1	Obsidian Orb of Scrykin Suffering	175380	1	6
Feet-Slot2	Brilliant Gem of Perpetual Reverie	171572	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Brilliant Belt of Eternal Reverie	171936	1	6
Waist-Slot1	Tourmaline of Alteration	111797	1	6
Waist-Slot2	Elisel's Gem of Virtue	171380	1	6
Waist-Slot3	Mist-Filled Vial	175369	1	6
Power Source	Gleaming Silver Wayfarer Source	111669	1	6
Ammo	Empty	0	0	0
General 1	Shik'Nar Carapace Crate	169971	1	46
General 1-Slot1	Lesser Symbol of Shar Vahl	164558	1	6
General 1-Slot2	Minor Symbol of Shar Vahl	164557	1	6
