Location	Name	ID	Count	Slots
Charm	Spectral Luclinite Charm of Brilliance	169939	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Tribute to the Fallen	171177	1	6
Charm-Slot3	Velium Empowered Gem of Freezing	163584	1	6
Charm-Slot4	Fortuitous Jewel	165983	1	6
Ear	Summoner's Earring of Eternal Reverie	171913	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Glittering Token of Horror	173174	1	6
Ear-Slot3	Phantasmal Luclinite Gem of Brilliance	169572	1	6
Head	Dragonbrood Cowl of Shattered Dominion	175702	1	6
Head-Slot1	Stone of Unified Spirits	169376	1	6
Head-Slot2	Velium Threaded Gem of Adroitness	165571	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Charred Scrykin Mask	175719	1	6
Face-Slot1	Tourmaline of Alteration	111797	1	6
Face-Slot2	Glittering Token of Horror	173174	1	6
Face-Slot3	Jovial Jharin Jingle	169167	1	6
Ear	Summoner's Earring of Rebellion	173913	1	6
Ear-Slot1	Emerald of Abjuration	111796	1	6
Ear-Slot2	Master's Curio	163995	1	6
Ear-Slot3	Em's Lost Prayer Ruby	167168	1	6
Neck	Radiant Convoker's Collar of Legacies Lost	151484	1	6
Neck-Slot1	Citrine of Conjuration	111798	1	6
Neck-Slot2	Mythic Charm	151234	1	6
Neck-Slot3	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Neck-Slot4	Acolyte's Casting Ice of Legacies Lost	153887	1	6
Neck-Slot5	Blazing Euphoria Assaulting Fire	161637	1	6
Neck-Slot6	Silver Casting Magic of Jubilation	109575	1	6
Shoulders	Brilliant Amice of Eternal Reverie	171924	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Arcane Gem of Artfulness	175174	1	6
Shoulders-Slot3	Concentrated Goblin Smarts	171370	1	6
Arms	Dragonbrood Armwraps of Rebellion	173903	1	6
Arms-Slot1	Glittering Token of Horror	173174	1	6
Arms-Slot2	Ungerminated Spore	173167	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Benighted Convoker's Cloak of the Selenelion	139387	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Divine Medallion	164196	1	6
Back-Slot3	Kaas Akuel xi Temariel	169168	1	6
Back-Slot4	Acolyte's Casting Magic of the Selenelion	109564	1	6
Back-Slot5	Devotee's Casting Ice of Legacies Lost	153898	1	6
Back-Slot6	Devotee's Strategy of the Selenelion	169189	1	6
Wrist	Dragonbrood Wristguard of Shattered Dominion	175699	1	6
Wrist-Slot1	Glittering Token of Horror	173174	1	6
Wrist-Slot2	Luclinite Ensanguined Gem of Security	167573	1	6
Wrist-Slot3	Empty	0	0	0
Wrist-Slot4	Empty	0	0	0
Wrist	Dragonbrood Wristguard of Shattered Dominion	175699	1	6
Wrist-Slot1	Glittering Token of Horror	173174	1	6
Wrist-Slot2	Joy of the Dancer	175169	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Range	Talisman of Resonant Fracture	175931	1	6
Range-Slot1	Empty	0	0	0
Range-Slot2	Tumbler's Balancing Orb	173376	1	6
Range-Slot3	Steadfast Shadow Gem	173169	1	6
Hands	Dragonbrood Gloves of Shattered Dominion	175700	1	6
Hands-Slot1	Arcane Gem of Artfulness	175174	1	6
Hands-Slot2	Medallion of Loathing	175371	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Stone Storm Staff	175763	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Harmonious Phantasmal Luclinite Gem of Devastation	164570	1	6
Primary-Slot3	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Harbinger's Fine Composite Ring of Vengeance	168077	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Arcane Gem of Artfulness	175174	1	6
Fingers-Slot3	White Gilded Lodestone	173370	1	6
Fingers-Slot4	Empty	0	0	0
Fingers-Slot5	Empty	0	0	0
Fingers-Slot6	Devotee's Attacker of Enduring Harmony	138886	1	6
Fingers	Loop of Higher Purpose	173732	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Arcane Gem of Artfulness	175174	1	6
Fingers-Slot3	Trinket of the Fire Snail	175168	1	6
Chest	Dragonbrood Tunic of the Bound	173705	1	6
Chest-Slot1	Arcane Gem of Artfulness	175174	1	6
Chest-Slot2	Violet Edged Rose	171369	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Dragonbrood Leggings of Rebellion	173904	1	6
Legs-Slot1	Blazing Icon of Solusek Ro	175376	1	6
Legs-Slot2	Gnoll Skull Fragment	175167	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Dragonbrood Boots of Uprising	173501	1	6
Feet-Slot1	Glittering Token of Horror	173174	1	6
Feet-Slot2	Mist-Filled Vial	175369	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Skyguard's Formal Sash	173737	1	6
Waist-Slot1	Topaz of Evocation	111800	1	6
Waist-Slot2	Glittering Token of Horror	173174	1	6
Waist-Slot3	Performer's Lucky Charm	169371	1	6
Power Source	Riven Arcana Slayer Source	175189	1	6
Ammo	Ethereal Quill	95063	1	6
Ammo-Slot1	Empty	0	0	0
General 1	Shadow Slayer's Chest	168039	1	46
General 1-Slot1	Ether-Fused Tea	85486	13	6
General 1-Slot2	Aircrisp Apple	85485	16	6
General 1-Slot3	Necklace Clasp of Rebellion	170443	1	6
General 1-Slot4	Blue Diamond	22503	2	6
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Stormslayer's Satchel	153976	1	44
General 1-Slot6-Slot1	Empty	0	0	0
General 1-Slot6-Slot2	Empty	0	0	0
General 1-Slot6-Slot3	Empty	0	0	0
General 1-Slot6-Slot4	Empty	0	0	0
General 1-Slot6-Slot5	Empty	0	0	0
General 1-Slot6-Slot6	Empty	0	0	0
General 1-Slot6-Slot7	Empty	0	0	0
General 1-Slot6-Slot8	Empty	0	0	0
General 1-Slot6-Slot9	Empty	0	0	0
General 1-Slot6-Slot10	Empty	0	0	0
General 1-Slot6-Slot11	Empty	0	0	0
General 1-Slot6-Slot12	Empty	0	0	0
General 1-Slot6-Slot13	Empty	0	0	0
General 1-Slot6-Slot14	Empty	0	0	0
