Location	Name	ID	Count	Slots
Charm	Defender's Charm of Rebellion	173940	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Arcane Gem of Artfulness	175174	1	6
Charm-Slot3	Bioluminescent Cave Stone	173371	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Ritual Master's Bauble	173714	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Acrobat's Gem of Uprising	173572	1	6
Head	Soulforge Cowl of Rebellion	173846	1	6
Head-Slot1	Arcane Gem of Artfulness	175174	1	6
Head-Slot2	Mist-Filled Vial	175369	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Acrobat's Mask of Rebellion	173919	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Arcane Gem of Artfulness	175174	1	6
Face-Slot3	Gooey Shadow Stone	167368	1	6
Ear	Defender's Earring of Rebellion	173914	1	6
Ear-Slot1	Tempus Faycite Shard: Earthforce Discipline	138700	1	6
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Adroit Gem of Perpetual Reverie	171571	1	6
Neck	Custodian's Lace Choker	173722	1	6
Neck-Slot1	Tempus Faycite Shard: Eye of the Storm	138694	1	6
Neck-Slot2	Arcane Gem of Artfulness	175174	1	6
Neck-Slot3	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Shoulders	Aureate Skin Spaulders	173725	1	6
Shoulders-Slot1	Durus Faycite Shard: Eye of the Storm	138695	1	6
Shoulders-Slot2	Arcane Gem of Artfulness	175174	1	6
Shoulders-Slot3	Gleaming Emblem of the Overseer	173369	1	6
Arms	Soulforge Armwraps of the Bound	173647	1	6
Arms-Slot1	Arcane Gem of Artfulness	175174	1	6
Arms-Slot2	Jovial Jharin Jingle	169167	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Mantle of Enduring Harmony	172540	1	6
Back-Slot1	Tempus Faycite Shard: Terrorpalm Discipline	138696	1	6
Back-Slot2	Arcane Gem of Artfulness	175174	1	6
Back-Slot3	Humongous Corrupted Pincer	169369	1	6
Wrist	Soulforge Wristguard of the Bound	173643	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Acrobat's Gem of Unraveling Order	175572	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Wrist	Soulforge Wristguard of the Bound	173643	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Luclinite Ensanguined Gem of Adroitness	167571	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Range	Talisman of Rebellion	173931	1	6
Range-Slot1	Empty	0	0	0
Range-Slot2	Blazing Icon of Solusek Ro	175376	1	6
Range-Slot3	Protective Beak Bauble	171169	1	6
Hands	Soulforge Gloves of the Bound	173644	1	6
Hands-Slot1	Arcane Gem of Artfulness	175174	1	6
Hands-Slot2	Protector's Gem of Uprising	173574	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Bo Staff of Resonant Fracture	175965	1	6
Primary-Slot1	Arcane Gem of Artfulness	175174	1	6
Primary-Slot2	Reactive Sharpened Gem of Unraveling Order	153970	1	6
Primary-Slot3	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Duelist's Ring of Uprising	173534	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Nimble Gem of Unraveling Order	175579	1	6
Fingers-Slot3	Defender's Gem of Unraveling Order	175571	1	6
Fingers	Harbinger's Assaulter Ring of Cataclysm	168081	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Defiant Claw	151793	1	6
Fingers-Slot3	Mischievous Reanimating Reagent	171167	1	6
Fingers-Slot4	Acolyte's Attacker of the Harbinger	169780	1	6
Fingers-Slot5	Acolyte's Enhancement of the Harbinger	169789	1	6
Fingers-Slot6	Devotee's Enhancement of the Harbinger	169800	1	6
Chest	Soulforge Tunic of Rebellion	173849	1	6
Chest-Slot1	Arcane Gem of Artfulness	175174	1	6
Chest-Slot2	Ungerminated Spore	173167	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Soulforge Leggings of the Bound	173648	1	6
Legs-Slot1	Arcane Gem of Artfulness	175174	1	6
Legs-Slot2	Violet Edged Rose	171369	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Soulforge Boots of the Bound	173645	1	6
Feet-Slot1	Arcane Gem of Artfulness	175174	1	6
Feet-Slot2	Medallion of Loathing	175371	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Broadleaf Belt	175737	1	6
Waist-Slot1	Empty	0	0	0
Waist-Slot2	Arcane Gem of Artfulness	175174	1	6
Waist-Slot3	Gnoll Skull Fragment	175167	1	6
Power Source	Emberquartz Protector Source	171183	1	6
Ammo	Mystical Bolt	95070	1	6
Ammo-Slot1	Empty	0	0	0
General 1	Stormslayer's Backpack	153978	1	48
General 1-Slot1	Fresh Fish	13019	884	6
General 1-Slot2	Bread Cakes*	9991	18	6
General 1-Slot3	Pod of Water	13044	766	6
General 1-Slot4	Pod of Water	13044	420	6
General 1-Slot5	Riven Arcana Imbued Hide	170824	11	6
General 1-Slot6	Velium Composite Scale	159199	1	6
General 1-Slot7	Vegetables	13419	42	6
General 1-Slot8	Ether-Fused Tea	85486	20	6
General 1-Slot9	Emblem of the Storm Warden	152428	3	6
General 1-Slot10	Ether-Fused Tea	85486	20	6
