Location	Name	ID	Count	Slots
Charm	Duelist's Charm of Rebellion	173938	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Arcane Gem of Artfulness	175174	1	6
Charm-Slot3	Protective Beak Bauble	171169	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Golden Drop of Amber	175714	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Glittering Token of Horror	173174	1	6
Ear-Slot3	Adroit Gem of Perpetual Reverie	171571	1	6
Head	Loremaster Helm of Heroic Reflections	171653	1	6
Head-Slot1	Glittering Token of Horror	173174	1	6
Head-Slot2	Unparalleled Finesse Gem of Distant Echoes	166898	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Mask of the Anointed Chief	173717	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Nimble Gem of Uprising	173579	1	6
Face-Slot3	Mist-Filled Vial	175369	1	6
Ear	Ritual Master's Bauble	173714	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Humongous Corrupted Pincer	169369	1	6
Neck	Terrastriker Enameled Pendant	173720	1	6
Neck-Slot1	Tourmaline of Alteration	111797	1	6
Neck-Slot2	Glittering Token of Horror	173174	1	6
Neck-Slot3	Unparalleled Staminic Gem of Distant Echoes	162961	1	6
Shoulders	Spaulders of the Hand	171723	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Arcane Gem of Artfulness	175174	1	6
Shoulders-Slot3	Unparalleled Vigorous Gem of Distant Echoes	111506	1	6
Arms	Loremaster Vambraces of Eternal Reverie	171854	1	6
Arms-Slot1	Tumbler's Balancing Orb	173376	1	6
Arms-Slot2	Medallion of Loathing	175371	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Mantle of Enduring Harmony	172540	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Arcane Gem of Artfulness	175174	1	6
Back-Slot3	Violet Edged Rose	171369	1	6
Wrist	Loremaster Bracer of Shattered Dominion	175650	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Luclinite Ensanguined Gem of Adroitness	167571	1	6
Wrist-Slot3	Empty	0	0	0
Wrist-Slot4	Empty	0	0	0
Wrist	Loremaster Bracer of Shattered Dominion	175650	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Gnoll Skull Fragment	175167	1	6
Wrist-Slot3	Empty	0	0	0
Wrist-Slot4	Empty	0	0	0
Range	Green Pulse	175729	1	6
Range-Slot1	Shard of Verdicts	110399	1	6
Range-Slot2	Arcane Gem of Artfulness	175174	1	6
Range-Slot3	Steadfast Shadow Gem	173169	1	6
Hands	Loremaster Gauntlets of the Bound	173651	1	6
Hands-Slot1	Arcane Gem of Artfulness	175174	1	6
Hands-Slot2	Ungerminated Spore	173167	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Twisted Maul	175746	1	6
Primary-Slot1	Reactive Honed Gem of the Shackled	151785	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Spiralthorn Mace	175747	1	6
Secondary-Slot1	Reactive Honed Gem of Uprising	151789	1	6
Secondary-Slot2	Empty	0	0	0
Fingers	Striped Copper Ring	173734	1	6
Fingers-Slot1	Ruby of Offense	111801	1	6
Fingers-Slot2	Rapidious Sun Shaving	171174	1	6
Fingers-Slot3	Protector's Gem of Uprising	173574	1	6
Fingers	Harbinger's Fine Protector Ring of Vengeance	168075	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Blazing Icon of Solusek Ro	175376	1	6
Fingers-Slot3	Mischievous Reanimating Reagent	171167	1	6
Fingers-Slot4	Empty	0	0	0
Fingers-Slot5	Devotee's Enhancement of Enduring Harmony	138895	1	6
Fingers-Slot6	Devotee's Dorsal Defense of Enduring Harmony	138890	1	6
Chest	Loremaster Breastplate of the Bound	173656	1	6
Chest-Slot1	Arcane Gem of Artfulness	175174	1	6
Chest-Slot2	Unparalleled Nimble Gem of Distant Echoes	166685	1	6
Chest-Slot3	Empty	0	0	0
Chest-Slot4	Empty	0	0	0
Legs	Loremaster Greaves of the Bound	173655	1	6
Legs-Slot1	Arcane Gem of Artfulness	175174	1	6
Legs-Slot2	Hardened Glowing Diamond	171371	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Loremaster Boots of the Bound	173652	1	6
Feet-Slot1	Arcane Gem of Artfulness	175174	1	6
