Location	Name	ID	Count	Slots
Charm	Security Charm of Eternal Reverie	171940	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Glittering Token of Horror	173174	1	6
Charm-Slot3	Joy of the Dancer	175169	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Acrobat's Earring of Rebellion	173916	1	6
Ear-Slot1	Durus Faycite Shard: Reckless Edge Discipline	159580	1	6
Ear-Slot2	Nimble Gem of Unraveling Order	175579	1	6
Ear-Slot3	Humongous Corrupted Pincer	169369	1	6
Head	Shadowscale Coif of the Bound	173660	1	6
Head-Slot1	Arcane Gem of Artfulness	175174	1	6
Head-Slot2	Mist-Filled Vial	175369	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Silver Mask of Adroitness	111663	1	6
Face-Slot1	Tempus Faycite Shard: Pinpoint Fault	159578	1	6
Face-Slot2	Arcane Gem of Artfulness	175174	1	6
Face-Slot3	Violet Edged Rose	171369	1	6
Ear	Adroit Earring of Eternal Reverie	171916	1	6
Ear-Slot1	Irae Faycite Shard: Venomous Blade	159581	1	6
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Adroit Gem of Perpetual Reverie	171571	1	6
Neck	Radiant Assaulter's Collar of Legacies Lost	151481	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Mythic Charm	151234	1	6
Neck-Slot3	Unparalleled Finesse Gem of Distant Echoes	166898	1	6
Neck-Slot4	Acolyte's Attacker of the Harbinger	169780	1	6
Neck-Slot5	Devotee's Assaulting Ice of Legacies Lost	153894	1	6
Neck-Slot6	Devotee's Enhancement of the Harbinger	169800	1	6
Shoulders	Adroit Amice of Eternal Reverie	171925	1	6
Shoulders-Slot1	Irae Faycite Shard: Carve	159577	1	6
Shoulders-Slot2	Arcane Gem of Artfulness	175174	1	6
Shoulders-Slot3	Ungerminated Spore	173167	1	6
Arms	Shadowscale Sleeves of Rebellion	173861	1	6
Arms-Slot1	Arcane Gem of Artfulness	175174	1	6
Arms-Slot2	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Aged Nebulous Assaulter's Cloak of the Selenelion	139379	1	6
Back-Slot1	Tempus Faycite Shard: Bamboozle	159579	1	6
Back-Slot2	Glittering Token of Horror	173174	1	6
Back-Slot3	Acrobat's Gem of Uprising	173572	1	6
Back-Slot4	Acolyte's Attacker of Legacies Lost	153882	1	6
Back-Slot5	Acolyte's Assaulting Ice of Legacies Lost	153883	1	6
Back-Slot6	Devotee's Attacker of Enduring Harmony	138886	1	6
Wrist	Shadowscale Wristguard of Rebellion	173857	1	6
Wrist-Slot1	Glittering Token of Horror	173174	1	6
Wrist-Slot2	Security Gem of Perpetual Reverie	171573	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
