Location	Name	ID	Count	Slots
Charm	Angeliana's Earball	175738	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Empty	0	0	0
Charm-Slot3	Empty	0	0	0
Charm-Slot4	Empty	0	0	0
Ear	Runic Stud of the Aureate	173715	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Obsidian Orb of Scrykin Suffering	175380	1	6
Ear-Slot3	Kaas Akuel xi Temariel	169168	1	6
Head	Spiritwalker Coif of Eternal Reverie	171867	1	6
Head-Slot1	Glittering Token of Serenity	173178	1	6
Head-Slot2	Gnoll Skull Fragment	175167	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Yearning Reassembled Mask of the Vortex	168094	1	6
Face-Slot2	Empty	0	0	0
Face-Slot3	Divine Medallion	164196	1	6
Face-Slot4	Medallion of Loathing	175371	1	6
Face-Slot5	Empty	0	0	0
Face-Slot6	Devotee's Enhancement of Enduring Harmony	138895	1	6
Ear	Blooded Righteous Mendicant's Earring of Rallos	164477	1	6
Ear-Slot1	Ruby of Offense	111801	1	6
Ear-Slot2	Glittering Token of Serenity	173178	1	6
Ear-Slot3	Phantasmal Luclinite Gem of Brilliance	169572	1	6
Ear-Slot4	Rallos Zek Acolyte's Casting Ice	164535	1	6
Ear-Slot5	Acolyte's Stealth of the Selenelion	169184	1	6
Ear-Slot6	Rallos Zek Devotee's Casting Ice	164546	1	6
Neck	Fine Lustrous Mendicant's Collar of Legacies Lost	151478	1	6
Neck-Slot1	Tourmaline of Alteration	111797	1	6
Neck-Slot2	Mythic Charm	151234	1	6
Neck-Slot3	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Neck-Slot4	Acolyte's Assaulting Magic of the Selenelion	109560	1	6
Neck-Slot5	Acolyte's Assault of the Selenelion	169183	1	6
Neck-Slot6	Devotee's Enhancement of the Harbinger	169800	1	6
Shoulders	Vigorous Amice of Eternal Reverie	171923	1	6
Shoulders-Slot1	Topaz of Evocation	111800	1	6
Shoulders-Slot2	Glittering Token of Serenity	173178	1	6
