Location	Name	ID	Count	Slots
Charm	Duelist's Charm of Resonant Fracture	175940	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Glittering Token of Horror	173174	1	6
Charm-Slot3	Bioluminescent Cave Stone	173371	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Defender's Earring of Resonant Fracture	175914	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Unparalleled Finesse Gem of Distant Echoes	166898	1	6
Head	Exarch Helm of Shattered Dominion	175618	1	6
Head-Slot1	Rift-Touched Cereous Bar	175172	1	6
Head-Slot2	Violet Edged Rose	171369	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Yearning Restored Mask of the Vortex	168096	1	6
Face-Slot2	Empty	0	0	0
Face-Slot3	Empty	0	0	0
Face-Slot4	Protector's Gem of Uprising	173574	1	6
Face-Slot5	Acolyte's Attacker of Legacies Lost	153882	1	6
Face-Slot6	Silver Ventral Defense of Jubilation	109573	1	6
Ear	Blooded Righteous Protector's Earring of Rallos	164474	1	6
Ear-Slot1	Eye of Life	129883	1	6
Ear-Slot2	Rift-Touched Cereous Bar	175172	1	6
Ear-Slot3	Acrobat's Gem of Uprising	173572	1	6
Ear-Slot4	Acolyte's Attacker of the Harbinger	169780	1	6
Ear-Slot5	Silver Enhancement of Jubilation	109579	1	6
Ear-Slot6	Rallos Zek Devotee's Defense	164540	1	6
Neck	Radiant Protector's Collar of Legacies Lost	151480	1	6
Neck-Slot1	Ruby of Offense	111801	1	6
Neck-Slot2	Divine Medallion	164196	1	6
Neck-Slot3	Mist-Filled Vial	175369	1	6
Neck-Slot4	Acolyte's Enhancement of Legacies Lost	153891	1	6
Neck-Slot5	Devotee's Attacker of the Harbinger	169791	1	6
Neck-Slot6	Acolyte's Fortification of Legacies Lost	151490	1	6
Shoulders	Duelist's Spaulders of Resonant Fracture	175925	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Master's Curio	163995	1	6
Shoulders-Slot3	Overbound Zerk	175368	1	6
Arms	Exarch Vambraces of Eternal Reverie	171819	1	6
Arms-Slot1	Rift-Touched Cereous Bar	175172	1	6
Arms-Slot2	Phantasmal Luclinite Gem of Vigor	169570	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Benighted Protector's Cloak of the Selenelion	139383	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Mythic Charm	151234	1	6
Back-Slot3	Gem of Chaos	167371	1	6
Back-Slot4	Acolyte's Enhancement of the Selenelion	109568	1	6
Back-Slot5	Rallos Zek Devotee's Fortification	164528	1	6
Back-Slot6	Devotee's Fortification of the Selenelion	169190	1	6
Wrist	Exarch Bracer of Rebellion	173815	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Gnoll Skull Fragment	175167	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Wrist	Exarch Bracer of Eternal Reverie	171815	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Steadfast Shadow Gem	173169	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Range	Short Bow of Resonant Fracture	175970	1	6
Range-Slot1	Shard of Verdicts	110399	1	6
Range-Slot2	Blademaster's Writ	94410	1	6
Range-Slot3	Empty	0	0	0
Range-Slot4	Joy of the Dancer	175169	1	6
Range-Slot5	Empty	0	0	0
Hands	Exarch Gauntlets of the Bound	173616	1	6
Hands-Slot1	Glittering Token of Sorrow	173176	1	6
Hands-Slot2	Humongous Corrupted Pincer	169369	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Greatsword of Resonant Fracture	175964	1	6
Primary-Slot1	Black Diamond of Crippling	42073	1	6
Primary-Slot2	Reactive Sharpened Gem of the Shackled	151787	1	6
Primary-Slot3	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Empty	0	0	0
Fingers	Guardian's Ring of Resonant Fracture	175932	1	6
Fingers-Slot1	Emerald of Abjuration	111796	1	6
Fingers-Slot2	Immovable Green Gem	173378	1	6
Fingers-Slot3	Defender's Gem of Unraveling Order	175571	1	6
Chest	Exarch Breastplate of Rebellion	173821	1	6
Chest-Slot1	Blazing Icon of Solusek Ro	175376	1	6
Chest-Slot2	Gleaming Emblem of the Overseer	173369	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Exarch Greaves of the Bound	173620	1	6
Legs-Slot1	Flowing Gem of Uprising	173580	1	6
Legs-Slot2	Ungerminated Spore	173167	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Exarch Boots of Rebellion	173817	1	6
Feet-Slot1	Glittering Token of Horror	173174	1	6
Feet-Slot2	Hardened Glowing Diamond	171371	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Defender's Waistguard of Resonant Fracture	175935	1	6
Waist-Slot1	Empty	0	0	0
Waist-Slot2	Nimble Gem of Uprising	173579	1	6
Waist-Slot3	Phantasmal Luclinite Gem of Security	169573	1	6
Power Source	Gleaming Silver Protector Source	111667	1	6
Ammo	Empty	0	0	0
General 1	Shik'Nar Carapace Crate	169971	1	46
General 1-Slot1	Water Flask	13006	715	6
General 1-Slot2	Aircrisp Apple	85485	17	6
General 1-Slot3	Aircrisp Apple	85485	20	6
General 1-Slot4	Ether-Fused Tea	85486	20	6
General 1-Slot5	Ether-Fused Tea	85486	20	6
